month,season,hour,hour_categorized,Primary Type,Arrest,Domestic,Beat,Year
4,1,23,2,BATTERY,0,1,1634,2012
11,0,8,0,THEFT,0,0,621,2012
12,3,14,1,THEFT,1,0,111,2012
11,0,10,0,THEFT,0,0,711,2012
7,2,12,1,CRIMINAL DAMAGE,0,0,614,2012
1,3,8,0,THEFT,0,0,825,2012
3,1,15,1,THEFT,0,0,1814,2012
5,1,19,2,NARCOTICS,1,0,1913,2012
4,1,8,0,CRIMINAL DAMAGE,0,0,1023,2012
12,3,6,0,THEFT,0,0,1722,2012
3,1,8,0,BATTERY,0,0,825,2012
12,3,16,1,THEFT,0,0,2534,2012
1,3,10,0,THEFT,0,0,714,2012
1,3,11,0,CRIMINAL DAMAGE,0,0,632,2012
3,1,11,0,BATTERY,0,1,722,2012
1,3,8,0,THEFT,0,0,323,2012
6,2,18,2,CRIMINAL DAMAGE,0,0,724,2012
6,2,10,0,NARCOTICS,1,0,1532,2012
3,1,22,2,BATTERY,0,1,613,2012
6,2,1,2,CRIMINAL DAMAGE,0,1,423,2012
9,0,16,1,THEFT,0,0,2213,2012
4,1,11,0,NARCOTICS,1,0,1422,2012
5,1,15,1,THEFT,0,0,1713,2012
2,3,3,2,THEFT,0,1,1021,2012
1,3,20,2,NARCOTICS,1,0,612,2012
12,3,19,2,THEFT,0,0,113,2012
7,2,14,1,NARCOTICS,1,0,1031,2012
1,3,11,0,NARCOTICS,1,0,722,2012
11,0,14,1,THEFT,0,0,1011,2012
3,1,17,1,CRIMINAL DAMAGE,0,1,614,2012
6,2,22,2,NARCOTICS,1,0,2535,2012
1,3,19,2,THEFT,0,0,833,2012
2,3,19,2,THEFT,0,0,424,2012
3,1,18,2,BATTERY,0,0,1121,2012
10,0,19,2,THEFT,0,0,1833,2012
6,2,23,2,CRIMINAL DAMAGE,1,0,531,2012
8,2,18,2,BATTERY,0,1,822,2012
1,3,10,0,NARCOTICS,1,0,2532,2012
7,2,21,2,BATTERY,0,0,2232,2012
5,1,12,1,BATTERY,0,1,825,2012
1,3,11,0,THEFT,0,0,1831,2012
4,1,9,0,THEFT,0,0,333,2012
2,3,16,1,NARCOTICS,1,0,811,2012
3,1,7,0,THEFT,0,0,832,2012
11,0,12,1,NARCOTICS,1,0,211,2012
9,0,16,1,BATTERY,0,0,925,2012
3,1,10,0,THEFT,0,0,1622,2012
11,0,19,2,CRIMINAL DAMAGE,0,0,1211,2012
10,0,19,2,THEFT,0,0,123,2012
12,3,14,1,BATTERY,0,0,523,2012
7,2,4,2,THEFT,0,0,124,2012
8,2,9,0,THEFT,0,0,1424,2012
11,0,21,2,BATTERY,0,1,2513,2012
5,1,21,2,CRIMINAL DAMAGE,0,0,411,2012
12,3,19,2,NARCOTICS,1,0,722,2012
6,2,0,2,THEFT,0,0,2013,2012
11,0,12,1,THEFT,0,0,2511,2012
4,1,1,2,THEFT,0,0,1922,2012
2,3,0,2,CRIMINAL DAMAGE,0,0,2433,2012
8,2,9,0,CRIMINAL DAMAGE,0,0,1011,2012
6,2,17,1,THEFT,0,0,511,2012
6,2,1,2,BATTERY,0,0,1021,2012
7,2,0,2,THEFT,0,0,2534,2012
8,2,8,0,THEFT,0,0,131,2012
9,0,9,0,THEFT,0,0,1014,2012
8,2,22,2,BATTERY,0,0,333,2012
9,0,22,2,BATTERY,1,0,324,2012
9,0,19,2,THEFT,0,0,832,2012
3,1,20,2,BATTERY,1,0,2531,2012
9,0,7,0,THEFT,0,0,531,2012
8,2,14,1,THEFT,1,0,632,2012
1,3,17,1,THEFT,0,0,822,2012
12,3,15,1,THEFT,0,0,832,2012
10,0,16,1,NARCOTICS,1,0,1112,2012
7,2,13,1,THEFT,0,0,132,2012
2,3,15,1,THEFT,0,0,2113,2012
1,3,16,1,THEFT,0,0,334,2012
4,1,19,2,NARCOTICS,1,0,1121,2012
5,1,12,1,BATTERY,0,1,221,2012
2,3,17,1,BATTERY,1,0,2433,2012
3,1,15,1,THEFT,0,0,1032,2012
1,3,12,1,THEFT,0,0,1921,2012
9,0,20,2,THEFT,0,0,1432,2012
4,1,5,2,THEFT,0,1,1211,2012
5,1,8,0,THEFT,0,0,2411,2012
5,1,5,2,THEFT,0,0,1613,2012
9,0,20,2,BATTERY,0,0,2232,2012
5,1,16,1,THEFT,0,0,222,2012
9,0,1,2,THEFT,0,0,734,2012
5,1,8,0,THEFT,0,0,632,2012
12,3,22,2,BATTERY,1,1,2233,2012
2,3,16,1,THEFT,0,0,122,2012
9,0,2,2,BATTERY,0,0,1414,2012
1,3,9,0,THEFT,0,0,2032,2012
5,1,18,2,BATTERY,1,0,2022,2012
1,3,1,2,THEFT,0,0,1115,2012
11,0,19,2,THEFT,0,0,112,2012
1,3,21,2,NARCOTICS,1,0,1121,2012
12,3,12,1,BATTERY,0,1,2522,2012
12,3,9,0,NARCOTICS,1,0,621,2012
10,0,10,0,THEFT,0,0,2512,2012
7,2,4,2,BATTERY,1,0,1431,2012
6,2,10,0,BATTERY,0,1,621,2012
8,2,13,1,THEFT,0,0,113,2012
11,0,19,2,THEFT,0,0,1331,2012
6,2,18,2,BATTERY,0,1,731,2012
8,2,19,2,CRIMINAL DAMAGE,0,0,1934,2012
7,2,19,2,THEFT,0,0,2423,2012
5,1,1,2,CRIMINAL DAMAGE,0,0,2234,2012
10,0,12,1,NARCOTICS,1,0,1634,2012
12,3,22,2,NARCOTICS,1,0,1831,2012
3,1,16,1,CRIMINAL DAMAGE,0,0,522,2012
7,2,16,1,THEFT,1,1,1324,2012
3,1,10,0,BATTERY,1,0,2423,2012
2,3,15,1,CRIMINAL DAMAGE,0,0,932,2012
5,1,8,0,BATTERY,0,1,533,2012
5,1,22,2,NARCOTICS,1,0,2534,2012
9,0,6,0,BATTERY,0,0,211,2012
6,2,15,1,CRIMINAL DAMAGE,0,0,1331,2012
5,1,21,2,BATTERY,0,1,2222,2012
5,1,13,1,BATTERY,1,1,2222,2012
12,3,22,2,BATTERY,1,0,2032,2012
11,0,0,2,BATTERY,0,1,624,2012
2,3,11,0,THEFT,0,0,2233,2012
12,3,5,2,BATTERY,0,0,2413,2012
6,2,22,2,THEFT,0,0,614,2012
4,1,22,2,BATTERY,1,0,312,2012
7,2,18,2,BATTERY,0,1,815,2012
7,2,15,1,BATTERY,0,0,623,2012
2,3,22,2,BATTERY,0,1,2332,2012
6,2,6,0,THEFT,1,0,923,2012
10,0,0,2,THEFT,0,0,112,2012
6,2,15,1,THEFT,0,0,912,2012
3,1,10,0,THEFT,0,0,935,2012
2,3,16,1,NARCOTICS,1,0,821,2012
7,2,14,1,BATTERY,0,1,1033,2012
7,2,16,1,NARCOTICS,1,0,1524,2012
10,0,22,2,CRIMINAL DAMAGE,0,0,613,2012
10,0,20,2,THEFT,0,0,111,2012
5,1,21,2,BATTERY,0,1,2511,2012
5,1,18,2,THEFT,0,0,211,2012
7,2,18,2,NARCOTICS,1,0,1112,2012
6,2,18,2,NARCOTICS,1,0,1011,2012
7,2,5,2,BATTERY,0,1,734,2012
8,2,12,1,THEFT,0,0,2232,2012
3,1,14,1,NARCOTICS,1,0,1823,2012
10,0,1,2,BATTERY,0,0,1331,2012
3,1,16,1,BATTERY,0,1,2422,2012
2,3,17,1,THEFT,0,0,332,2012
4,1,10,0,BATTERY,0,0,1312,2012
3,1,17,1,NARCOTICS,1,0,935,2012
8,2,23,2,CRIMINAL DAMAGE,0,0,1533,2012
6,2,0,2,THEFT,0,0,1331,2012
10,0,20,2,CRIMINAL DAMAGE,0,0,2531,2012
1,3,9,0,BATTERY,1,0,2511,2012
1,3,10,0,BATTERY,0,0,624,2012
3,1,10,0,NARCOTICS,1,0,1122,2012
1,3,0,2,NARCOTICS,1,0,1111,2012
1,3,22,2,THEFT,0,0,724,2012
5,1,16,1,CRIMINAL DAMAGE,0,0,2432,2012
2,3,16,1,BATTERY,1,0,411,2012
8,2,10,0,CRIMINAL DAMAGE,0,0,2522,2012
3,1,15,1,THEFT,0,0,113,2012
1,3,9,0,CRIMINAL DAMAGE,0,0,2533,2012
12,3,20,2,THEFT,1,0,112,2012
10,0,17,1,THEFT,0,0,1821,2012
11,0,12,1,CRIMINAL DAMAGE,0,0,815,2012
11,0,16,1,THEFT,0,0,1012,2012
5,1,23,2,CRIMINAL DAMAGE,0,0,613,2012
2,3,4,2,CRIMINAL DAMAGE,0,0,2322,2012
7,2,12,1,THEFT,0,0,1935,2012
8,2,4,2,CRIMINAL DAMAGE,0,0,823,2012
11,0,18,2,BATTERY,0,1,813,2012
12,3,10,0,BATTERY,0,1,332,2012
7,2,2,2,BATTERY,0,0,1034,2012
12,3,11,0,NARCOTICS,1,0,312,2012
8,2,16,1,BATTERY,1,0,933,2012
9,0,20,2,BATTERY,0,0,1655,2012
5,1,11,0,CRIMINAL DAMAGE,1,0,215,2012
11,0,23,2,CRIMINAL DAMAGE,0,0,1115,2012
7,2,19,2,THEFT,0,0,1324,2012
4,1,11,0,THEFT,0,0,1834,2012
5,1,13,1,CRIMINAL DAMAGE,0,0,712,2012
11,0,14,1,THEFT,0,0,522,2012
8,2,21,2,BATTERY,0,0,1224,2012
3,1,10,0,THEFT,0,0,133,2012
7,2,0,2,CRIMINAL DAMAGE,1,0,322,2012
